datapath,n_features,embedding_dim,aggregator,n_layers,n_heads,reduce_type,learn_adjacency,tie_embeddings,tie_aggregator,size_of_cpt,num_edges,max_parents,numparams
data/1,10,2,transformer,4,2,,,False,,68,11,3,228
data/1,10,2,mlp,1,1,mean,True,True,True,68,11,3,150
data/1,10,2,mlp,1,1,mean,True,True,False,68,11,3,150
data/1,10,2,mlp,1,1,mean,False,True,,68,11,3,50
data/1,10,2,mlp,1,1,sum,True,True,True,68,11,3,150
data/1,10,2,mlp,1,1,sum,True,True,False,68,11,3,150
data/1,10,2,mlp,1,1,sum,False,True,,68,11,3,50
data/1,10,2,mlp,1,2,mean,True,True,True,68,11,3,250
data/1,10,2,mlp,1,2,mean,True,True,False,68,11,3,250
data/1,10,2,mlp,1,2,sum,True,True,True,68,11,3,250
data/1,10,2,mlp,1,2,sum,True,True,False,68,11,3,250
data/1,10,2,mlp,1,1,mean,True,False,True,68,11,3,204
data/1,10,2,mlp,1,1,mean,True,False,False,68,11,3,204
data/1,10,2,mlp,1,1,mean,False,False,,68,11,3,104
data/1,10,2,mlp,1,1,sum,True,False,True,68,11,3,204
data/1,10,2,mlp,1,1,sum,True,False,False,68,11,3,204
data/1,10,2,mlp,1,1,sum,False,False,,68,11,3,104
data/1,10,2,mlp,1,2,mean,True,False,True,68,11,3,304
data/1,10,2,mlp,1,2,mean,True,False,False,68,11,3,304
data/1,10,2,mlp,1,2,sum,True,False,True,68,11,3,304
data/1,10,2,mlp,1,2,sum,True,False,False,68,11,3,304
data/1,10,2,mlp,2,1,mean,True,True,True,68,11,3,170
data/1,10,2,mlp,2,1,mean,True,True,False,68,11,3,270
data/1,10,2,mlp,2,1,mean,False,True,,68,11,3,70
data/1,10,2,mlp,2,1,sum,True,True,True,68,11,3,170
data/1,10,2,mlp,2,1,sum,True,True,False,68,11,3,270
data/1,10,2,mlp,2,1,sum,False,True,,68,11,3,70
