datapath,n_features,embedding_dim,aggregator,n_layers,n_heads,i_in_context,size_of_cpt,num_edges,max_parents,numparams
data/9,100,16,transformer,1,4,False,4736,268,3,11232
data/9,100,16,transformer,2,1,True,4736,268,3,12864
data/9,100,16,transformer,2,1,False,4736,268,3,12864
data/9,100,16,transformer,2,2,True,4736,268,3,12864
data/9,100,16,transformer,2,2,False,4736,268,3,12864
data/9,100,16,transformer,2,4,True,4736,268,3,12864
data/9,100,16,transformer,2,4,False,4736,268,3,12864
data/9,100,16,transformer,4,1,True,4736,268,3,16128
data/9,100,16,transformer,4,1,False,4736,268,3,16128
data/9,100,16,transformer,4,2,True,4736,268,3,16128
data/9,100,16,transformer,4,2,False,4736,268,3,16128
data/9,100,16,transformer,4,4,True,4736,268,3,16128
data/9,100,16,transformer,4,4,False,4736,268,3,16128
data/9,100,64,transformer,1,1,True,4736,268,3,63360
data/9,100,64,transformer,1,1,False,4736,268,3,63360
data/9,100,64,transformer,1,2,True,4736,268,3,63360
data/9,100,64,transformer,1,2,False,4736,268,3,63360
data/9,100,64,transformer,1,4,True,4736,268,3,63360
data/9,100,64,transformer,1,4,False,4736,268,3,63360
data/9,100,64,transformer,2,1,True,4736,268,3,88320
data/9,100,64,transformer,2,1,False,4736,268,3,88320
data/9,100,64,transformer,2,2,True,4736,268,3,88320
data/9,100,64,transformer,2,2,False,4736,268,3,88320
data/9,100,64,transformer,2,4,True,4736,268,3,88320
data/9,100,64,transformer,2,4,False,4736,268,3,88320
data/9,100,64,transformer,4,1,True,4736,268,3,138240
data/9,100,64,transformer,4,1,False,4736,268,3,138240
data/9,100,64,transformer,4,2,True,4736,268,3,138240
data/9,100,64,transformer,4,2,False,4736,268,3,138240
data/9,100,64,transformer,4,4,True,4736,268,3,138240
data/9,100,64,transformer,4,4,False,4736,268,3,138240
